X Coordinate,Y Coordinate
0.0,0.0
1.0,0.2911631439640471
2.0,0.6181286670676475
3.0,0.9782386285122163
4.0,1.3688665971348606
5.0,1.7873861417726877
6.0,2.231170831262805
7.0,2.697594234442319
8.0,3.184029920148337
9.0,3.6878514572179664
10.0,4.206432414488313
11.0,4.737146360796487
12.0,5.277366864979593
13.0,5.824467495874738
14.0,6.375821822319031
15.0,6.928803413149579
16.0,7.480785837203486
17.0,8.029142663317863
18.0,8.571247460329813
19.0,9.104473797076448
20.0,9.626195242394871
21.0,10.133785365122193
22.0,10.62461773409552
23.0,11.096065918151956
24.0,11.54550348612861
25.0,11.970304006862591
26.0,12.367841049191005
27.0,12.735488181950958
28.0,13.070618973979558
29.0,13.37060699411391
30.0,13.632825811191127
31.0,13.854648994048311
32.0,14.03345011152257
33.0,14.166602732451011
34.0,14.251480425670742
35.0,14.28545676001887
